LEAID,ZIP,LAT,LON
0400109,85016,33.491463,-112.048708
0400111,85284,33.349994,-111.9136
0400112,85212,33.340839,-111.682632
0400113,85268,33.622604,-111.717592
0400115,85749,32.266606,-110.734859
0400120,85007,33.446753,-112.094171
0400121,85028,33.582212,-111.992879
0400122,85033,33.495776,-112.224385
0400124,85004,33.465396,-112.066142
0400125,85705,32.23973,-110.970982
0400126,85719,32.26515,-110.952058
0400129,85745,32.30313,-111.063
0400130,86326,34.732279,-112.004605
0400131,85018,33.50616,-111.964911
0400134,85258,33.553063,-111.897369
0400135,85308,33.643183,-112.185551
0400141,85543,32.901398,-109.844985
0400144,85013,33.507299,-112.08305
0400145,85201,33.446189,-111.831648
0400147,85719,32.22257,-110.9516
0400149,85016,33.527109,-112.047952
0400150,85621,31.3482,-110.927501
0400151,85204,33.408068,-111.821157
0400153,85014,33.51583,-112.055421
0400154,86054,36.598492,-110.655179
0400157,85204,33.387587,-111.814937
0400159,85705,32.27134,-110.970951
0400160,85709,32.146098,-110.990322
0400163,86004,35.209299,-111.604006
0400165,85048,33.295654,-112.06055
0400178,85533,33.043325,-109.293356
0400181,85032,33.620224,-111.993073
0400182,85207,33.437406,-111.627646
0400184,85224,33.339426,-111.875183
0400185,85040,33.39804,-112.040371
0400187,85086,33.809572,-112.066225
0400190,85031,33.494004,-112.155302
0400191,85042,33.37523,-112.069831
0400197,85937,34.51236,-110.09415
0400201,85714,32.162836,-110.970465
0400202,85748,32.2059,-110.763712
0400204,85741,32.324859,-111.043512
0400205,85629,31.929443,-110.996007
0400208,86301,34.56894,-112.480901
0400209,86314,34.5856,-112.307766
0400210,86301,34.578998,-112.483239
0400211,86301,34.635725,-112.405558
0400212,85602,31.965419,-110.29961
0400213,86004,35.30013,-111.312321
0400217,85259,33.583609,-111.800785
0400218,85204,33.40397,-111.813261
0400219,85053,33.63081,-112.137201
0400221,85016,33.527109,-112.047952
0400223,85741,32.308354,-111.01681
0400225,85048,33.2986,-111.9789
0400227,85016,33.527109,-112.047952
0400229,85032,33.650574,-111.978762
0400230,85053,33.65142,-112.116111
0400231,85283,33.370129,-111.91052
0400232,85205,33.44658,-111.734991
0400235,85120,33.405149,-111.554141
0400237,85345,33.56484,-112.297026
0400238,85007,33.466641,-112.082989
0400239,85353,33.423956,-112.257333
0400241,85388,33.599874,-112.434419
0400243,85225,33.337025,-111.843837
0400244,85204,33.387587,-111.814937
0400246,85901,34.28394,-110.121698
0400248,86403,34.49161,-114.3172
0400254,85716,32.251762,-110.934988
0400255,85715,32.242406,-110.796619
0400258,85705,32.30397,-111.0242
0400259,85706,32.1353,-110.9827
0400261,85710,32.22059,-110.811
0400263,85624,31.545215,-110.75743
0400264,85646,31.615617,-111.051155
0400266,86314,34.57999,-112.348932
0400267,85282,33.394063,-111.893133
0400268,85364,32.697521,-114.664915
0400273,85281,33.456133,-111.926049
0400274,85017,33.52799,-112.133921
0400275,85719,32.21636,-110.9516
0400276,85203,33.423526,-111.793077
0400278,85027,33.67008,-112.125291
0400279,85053,33.65142,-112.116111
0400280,86442,35.101183,-114.625291
0400281,86021,36.957392,-112.982073
0400282,85364,32.70602,-114.624261
0400284,85607,31.348671,-109.534427
0400288,85033,33.495643,-112.222196
0400290,85017,33.478901,-112.241696
0400295,86401,35.214519,-114.01571
0400296,85705,32.23973,-110.970982
0400299,85602,31.970269,-110.269205
0400303,85037,33.495297,-112.273302
0400310,85308,33.617905,-112.397831
0400311,85308,33.648551,-112.162028
0400315,86301,34.62823,-112.410912
0400316,85173,33.27869,-111.111254
0400317,85718,32.276715,-110.914243
0400318,85713,32.191315,-110.942396
0400320,86314,34.60451,-112.315941
0400321,85210,33.400088,-111.858592
0400322,85705,32.2657,-110.9763
0400323,85340,33.530179,-112.32748
0400326,85374,33.629724,-112.341472
0400327,85051,33.578947,-112.151106
0400329,85225,33.34192,-111.840971
0400330,85710,32.20558,-110.815831
0400332,85301,33.54341,-112.185801
0400339,85501,33.391126,-110.766543
0400340,85209,33.378883,-111.674534
0400341,86326,34.725157,-112.006603
0400343,85711,32.2006,-110.910347
0400345,85643,32.146539,-109.637014
0400347,86040,36.92189,-111.459436
0400348,85128,32.972565,-111.548721
0400349,85552,32.83528,-109.766993
0400350,86004,35.20844,-111.616721
0400351,85016,33.527109,-112.047952
